Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S000044;02/01/2020;7:30;CALL. ALBASANZ / CALL. RUFINO GONZALEZ;-;SAN BLAS-CANILLEJAS;Colisión frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S000151;04/01/2020;13:45;CALL. ORENSE;12;TETUÁN;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S000212;04/01/2020;13:30;M-605, KM 1,600 SOMONTES (CAMINO);-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06
2020S003622;04/01/2020;13:00;PQUE. RETIRO;0;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;01
2020S000153;04/01/2020;12:10;CALL. NUESTRA SEÑORA DE VALVERDE;209;FUENCARRAL-EL PARDO;Colisión múltiple;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S000153;04/01/2020;12:10;CALL. NUESTRA SEÑORA DE VALVERDE;209;FUENCARRAL-EL PARDO;Colisión múltiple;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;01
2020S000326;05/01/2020;15:30;CALL. CLARA CAMPOAMOR;13;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;06
2020S000996;06/01/2020;16:30;CALL. MAESTRA JUSTA FREIRE;14;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S000778;07/01/2020;21:48;AVDA. INSTITUCION LIBRE DE ENSEÑANZA;21;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;07
2020S000350;07/01/2020;12:50;GTA. ANGEL CAIDO / PASEO. FERNAN NUÑEZ;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;07
2020S000305;07/01/2020;12:35;PASEO. FERNAN NUÑEZ / GTA. ANGEL CAIDO;-;RETIRO;Otro;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;03
2020S000403;08/01/2020;19:35;GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;07
2020S001287;08/01/2020;19:35;AVDA. MANZANARES;48;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Mujer;02
2020S001287;08/01/2020;19:35;AVDA. MANZANARES;48;LATINA;Caída;Despejado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Hombre;14
2020S000398;08/01/2020;19:15;CALL. VALVERDE;13;CENTRO;Otro;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S000479;09/01/2020;21:30;CALL. GRAN VIA;40;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Hombre;14
2020S000560;10/01/2020;23:55;CALL. ANDRES BORREGO;18;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05
2020S001023;10/01/2020;13:05;PLAZA. CORDON;2;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;02
2020S000502;10/01/2020;8:55;PLAZA. CRONOS;4;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;06
2020S000749;11/01/2020;16:00;PASEO. DELICIAS;7;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;07
2020S000779;12/01/2020;21:30;GTA. CUATRO CAMINOS / AVDA. REINA VICTORIA;-;TETUÁN;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S000706;12/01/2020;9:50;PASEO. EMBARCADERO;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;02
2020S000853;13/01/2020;21:00;CALL. PEPE HILLO / AVDA. CHAMPAGNAT;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;05
2020S000867;14/01/2020;17:30;PQUE. MADRID RIO / AVDA. MANZANARES nº 70;-;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2020S000867;14/01/2020;17:30;PQUE. MADRID RIO / AVDA. MANZANARES nº 70;-;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Peatón;DE 0 A 5 AÑOS;Hombre;07
2020S000931;15/01/2020;17:45;CALL. MAYOR;84;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S001078;16/01/2020;18:30;CALL. FUENTE CARRANTONA / AVDA. DOCTOR GARCIA TAPIA;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S001062;16/01/2020;16:45;CALL. SANTA ENGRACIA;101;CHAMBERÍ;Atropello a persona;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S001062;16/01/2020;16:45;CALL. SANTA ENGRACIA;101;CHAMBERÍ;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Hombre;07
