Año;Mes;Descripción Centro;Organismo;Número Contrato;Número Expediente;Descripción Contrato;Tipo Contrato;Procedimiento Adjudicación;Artículo;Apartado;Criterios Adjudicación;Presupuesto Total(IVA Incluido);Importe Adjudicación (IVA Incluido);Plazo;Fecha Adjudicación;Nombre/Razón Social;NIF/CIF Adjudicatario;Fecha Formalización;Acuerdo Marco;Ingreso/Coste Cero;Observaciones
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000001;MDC/2019/00177;ESPECTACULO TEATRAL ÑQUIEN ES EL SR SCHMITTÑ EN LA SALA PRINCIPAL DEL TEATRO DEL 16 DE OCTUBRE AL 10 DE NOVIEMBRE (T.ESPAÑOL);Servicios;Negociado sin publicidad;168;a) apartado 2º;;362.802,00 €;185.975,62 €;1,93;13/09/2019;EL ANGEL DE PEKIN;B82917063;13/09/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000002;CCV/2019/00643;GESTION DEL AREA DE FITNESS DEL CCVM, SA. ;Servicios;Abierto;;;Pluralidad de criterios;423.500,00 €;405.350,00 €;12;04/09/2019;CORPORAFIT SL;B82686817;17/09/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000003;CCV/2019/00907;SERVICIO DE DELEGADO DE CAMPOS DE HOCKEY PARA LOS PARTIDOS ;Servicios;Abierto;;;Un unico criterio;21.780,00 €;21.780,00 €;18;25/11/2019;DANIEL PAGLILLA HAM;54477104V;27/11/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000004;CCV/2019/00955;SERVICIO ASISTENCIA TECNICA ESPECIALIZADA PARA PROGRAMACION Y ORGANIZACION DE SERVICIOS Y ACTIVIDADES SOCIOCULTURALES;Servicios;Abierto;;;Pluralidad de criterios;520.300,00 €;409.977,91 €;22;10/09/2019;HARTFORD, S.L.;B59416479;29/10/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000005;CCV/2019/01180;REPARACION DE LA CUBIERTA Y DE REFORMA INTERIOR DEL EDIFICIO DE LA CUADRA N.6 DEL CCVM, SA;Obras;Abierto;;;Pluralidad de criterios;339.063,24 €;338.579,24 €;5;30/09/2019;CONSTRUCCIONES TABOADA Y RAMOS SL;B36052876;09/10/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000006;MDC/2019/00225;"ORGANIZACION, EJECUCION Y REPRESENTACION DE ESPECTACULOS DENTRO DEL CICLO DE POESIA CONTEMPORANEA ""POETICA CONTEMPORANEA"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;32.461,88 €;32.461,88 €;6,2;22/11/2019;ASOCIACION CULTURAL LIBRE EXPRESION ARTISITICA - L.E.A.;G87400339;10/12/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000007;MDC/2019/00224;PR19-0436 REPRESENTACION ARTISTICA TEATRAL REBOTA REBOTA Y EN TU CARA EXPLOTA EN LA SALA MARGARITA XIRGU  DEL 26 DE DICIEMBRE DE 2019 AL 4 DE ENERO DE 2020(T.ESPAÑOL);Servicios;Negociado sin publicidad;168;a) apartado 2º;;20.570,00 €;20.570,00 €;1,5;19/11/2019;ASSOCIACIO CULTURAL ELCLIMAMOLA;G63850283;20/11/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000008;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 1;Suministro;Abierto simplificado;;;Un unico criterio;14.520,00 €;14.520,00 €;3;06/11/2019;GESTION Y NEGOCIOS EUREKA S.L.;B74072695;02/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000009;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 3;Suministro;Abierto simplificado;;;Un unico criterio;895,40 €;798,60 €;3;06/11/2019;FERRETERIA IBERMADRID, S.A.;A80887201;02/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000010;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 2;Suministro;Abierto simplificado;;;Un unico criterio;12.705,00 €;10.762,95 €;3;06/11/2019;ALCANER 2000, S.L.U.;B81952913;02/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000011;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 4;Suministro;Abierto simplificado;;;Un unico criterio;2.129,60 €;1.642,05 €;3;06/11/2019;FERRETERIA UNCETA, S.A.;A20020277;02/12/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000012;MDC/2019/00226;"CREACION, DESARROLLO Y EJECUCION DEL PROYECTO ARTISTICO ""HAZ QUE SUENE"" EN ESPACIO ABIERTO LA QUINTA DE LOS MOLINOS";Servicios;Negociado sin publicidad;168;a) apartado 2º;;29.051,00 €;29.050,96 €;7,5;13/12/2019;ACCION SOCIAL POR LA MUSICA;G86780525;16/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000013;EVS/2019/00060;SERVICIOS DE ESTUDIOS DE TOPOGRAFIA PARA LAS PARCELAS T10BC, M34B, T6B, T6A Y M5C DEL UZI 02.01 DESARROLLO DEL ESTE-EL CAÑAVERAL EN EL DISTRITO DE VICALVARO DE MADRID CORRESPONDIENTE A LAS PROMOCIONES CAÑAVERAL 08, CAÑAVERAL 09, CAÑAVERAL 10, CAÑAVERAL 11, CAÑAVERAL 12, PROMOVIDO POREMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;Servicios;Abierto simplificado;;;Pluralidad de criterios;5.445,00 €;3.267,00 €;0,7;10/12/2019;NAHU TOPOGRAFIA GLOBAL, S.L.;B86872579;16/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000014;EVS/2019/00062;SERVICIOS DE LIMPIEZA DE LA SEDE DE EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;Servicios;Abierto;;;Pluralidad de criterios;219.036,22 €;179.949,70 €;12;27/11/2019;LIMPIEZAS GREDOS, S.A.;A28895118;26/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE MORATALAZ;202000015;300/2019/01029;CABALGATA DE REYES 2020;Servicios;Abierto simplificado;;;Pluralidad de criterios;92.343,15 €;89.419,00 €;0,13;27/11/2019;MADRIZ SERVICIOS TECNICOS CULTURALES S.L.;B79944864;02/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000016;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 2;Suministro;Abierto;;;Un unico criterio;3.872,00 €;3.159,55 €;24;23/12/2019;SEYS CAD SYSTEMS, S.L.;B86961877;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000017;EVS/2019/00063;SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 1;Suministro;Abierto;;;Un unico criterio;28.435,00 €;25.625,62 €;36;23/12/2019;SEYS CAD SYSTEMS, S.L.;B86961877;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000018;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 3;Suministro;Abierto;;;Un unico criterio;605,00 €;582,01 €;12;23/12/2019;ALEDIT PROFESSIONAL SERVICES, S.L.;B87622015;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000019;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 4;Suministro;Abierto;;;Un unico criterio;544,50 €;526,35 €;24;23/12/2019;ALEDIT PROFESSIONAL SERVICES, S.L.;B87622015;27/12/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000020;MDC/2019/00227;"REPRESENTACION ARTISTICA DE OBRA TEATRAL ""MAGO DE OZ"" EN CENTRO CULTURAL CONDE DUQUE";Servicios;Negociado sin publicidad;168;a) apartado 2º;;41.140,00 €;41.140,00 €;0,73;12/12/2019;DIEGO AYALA CALVO;52990809M;16/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000021;300/2018/01331;ACTIVIDADES COMPLEMENTARIAS A LA EDUCACION EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE HORTALEZA. LOTE 3   ;Servicios;Abierto;;;Pluralidad de criterios;21.036,31 €;15.248,77 €;9,7;05/12/2019;TRITOMA S.L.;B78342615;10/12/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000022;MDC/2019/00215;SUMINISTRO DE PLANOS DE EVACUACION EN BRAILLE PARA MADRID DESTINO;Suministro;Abierto simplificado sumario;;;Un unico criterio;19.360,00 €;11.645,04 €;12;06/11/2019;PUNTODIS ACCESIBLE SOLUTIONS IN SIGN WRITING, S.L.;B95341178;11/11/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000023;MDC/2019/00230;"ORGANIZACION, EJECUCION Y REPRESENTACION DE LOS OBRAS DE TEATRO DE TITERES DENTRO DE LA 2 EDICICION DEL FESTIVAL ""MADRIONETAS. EL ARTE DEL TITERE"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;111.785,85 €;111.785,85 €;0,63;05/12/2019;SERVICIOS ESPECIALIZADOS EN DISTRIBUCION ARTISTICA, S.L;B86826039;18/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000024;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;192.348,38 €;142.337,79 €;12;14/11/2019;SERCUS SERVICIOS CULTURALES, S.L.;B80180896;10/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000025;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;14.112,23 €;12.545,28 €;12;22/11/2019;AJEDREZ CAPABLANCA S.L.;B84673334;19/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000026;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;105.116,33 €;92.444,00 €;12;13/11/2019;YEIYEBA, S.L.;B81650137;05/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;COORDINACIÓN GENERAL DE LA ALCALDIA;202000027;300/2019/00180;SERVICIO DE MANTENIMIENTO DE APARATOS ELEVADORES E INSTALACIONES ELECTROMECANICAS DE LOS EDIFICIOS QUE GESTIONA LA SECRETARIA GENERAL TECNICA DE LA GERENCIA DE LA CIUDAD.;Servicios;Abierto;;;Pluralidad de criterios;127.224,24 €;65.370,49 €;24;05/11/2019;ZARDOYA OTIS,S.A.;A28011153;28/11/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000028;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;39.699,60 €;31.339,00 €;12;22/11/2019;TRATO PRODUCCIONES ARTISTICAS SL;B86700796;19/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000029;300/2019/00534;SERVICIO DE ANIMACION SOCIOCULTURAL EN LOS CENTROS MUNICIPALES DE MAYORES DEL DISTRITO DE CHAMARTIN;Servicios;Abierto;;;Pluralidad de criterios;296.932,22 €;266.910,00 €;24;27/11/2019;ASOCIACION ESCUELA PARA EL DESARROLLO DE LA EDUCACION Y DE LO SOCIAL (EDES);G80633993;26/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000030;EMT/2019/00101;SUMINISTRO DE LOS COMPONENTES NECESARIOS PARA LA ELABORACION DE 3.000 LITROS DE MEZCLA DE ESMALTE ACRILICO AZUL RAL 5015;Suministro;Abierto;;;Un unico criterio;88.935,00 €;71.982,90 €;24;08/11/2019;PINTURAS DAMI SANTA POLA, S.L.U.;B54899117;23/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE HACIENDA Y PERSONAL;202000031;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES) LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;01/10/2019;CONURMA INGENIEROS CONSULTORES, S.L.;B81040503;05/11/2019;SI;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000032;EMT/2019/00115;MANTENIMIENTO DE MAQUINAS DE AUTOLIQUIDACION, CAMBIO Y DISPENSACION DE EFECTIVO DE LAS AGENCIAS DE RECAUDACION;Servicios;Abierto;;;Un unico criterio;270.519,70 €;269.927,83 €;48;12/11/2019;SUZOHAPP SPAIN, S.A.;A84752831;23/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000033;EMT/2019/00122;SUMINISTRO MEDIANTE RENTING DE UNA MAQUINA MULTIFUNCION DE ALTO VOLUMEN A4 (FOTOCOPIADORA, IMPRESORA Y ESCANER);Suministro;Abierto simplificado;;;Un unico criterio;34.339,80 €;25.375,88 €;60;27/11/2019;CANON ESPAÑA, S.A.;A28122125;23/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000034;EMT/2019/00043;MANTENIMIENTO DE LOS SISTEMAS DE PROTECCION CONTRA INCENDIOS Y DE LOS SISTEMAS DE DETECCION DE GASES Y EXTRACCION FORZADA EN LAS INSTALACIONES DE LA EMT DE MADRID;Servicios;Abierto;;;Pluralidad de criterios;777.472,96 €;647.180,12 €;36;27/11/2019;COMSA SERVICE FACILITY MANAGEMENT S A U;A60470127;23/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE VILLAVERDE;202000035;300/2019/01205;CABALGATAS DE REYES MAGOS VILLAVERDE OESTE Y ESTE Y CARNAVAL 2020. LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;54.035,57 €;50.820,00 €;0,1;04/12/2019;MADRIZ SERVICIOS TECNICOS CULTURALES S.L.;B79944864;03/01/2020; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000036;MDC/2019/00193;"COORDINACION Y COMISARIADO DE LAS ACTIVIDADES LIGADAS A LAS LINEAS DE ACTUACION AUTOFABRICANTES Y LABORATORIO DE ARTE Y CUERPO (LATE) DENTRO DEL PROGRAMA ""LABORATORIO CUERPO, SALUD Y AUTONOMIA"" FINANCIADO POR LA FUNDACION DANIEL Y NINA CARASSO EN MEDIALAB-PRADO";Servicios;Negociado sin publicidad;168;a) apartado 2º;;35.676,51 €;35.676,51 €;1,5;15/10/2019;ASOCIACION AUTOFABRICANTES;G87910758;15/10/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000037;300/2019/00033;CONTRATO PARA LA REALIZACION DE LUDOTECAS EN DOS CENTROS PUBLICOS DEL DISTRITO DE HORTALEZA DURANTE LOS PERIODOS DE VACACIONES ESCOLARES ;Servicios;Abierto;;;Pluralidad de criterios;80.157,07 €;76.527,00 €;12;11/12/2019;ACAYA NATURALEZA Y VIDA, S.L.;B81748808;20/12/2019; ;;
2020;Enero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE HACIENDA Y PERSONAL;202000038;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;01/10/2019;GESTION INTEGRAL DEL SUELO, S.L.;B81480352;05/11/2019;SI;;
2020;Enero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE HACIENDA Y PERSONAL;202000039;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;01/10/2019;UTE ESTUDIO NORNIELLA-PINEARQ-CEMOSA LOTE 1;U88391644;05/11/2019;SI;;
2020;Enero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE HACIENDA Y PERSONAL;202000040;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES). LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;01/10/2019;VIELCA INGENIEROS, S. A.;A98030604;05/11/2019;SI;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000041;MDC/2019/00231;"EJECUCION Y DESARROLLO DE LAS REPRESENTACIONES ARTISTICAS ""FIERS A CHEVAL"" DE LA COMPAGNIE DES QUIDAMS Y ""LA PARADE AMOUREUSE"" DE LA COMPAGNIE REMUE MENAGE,, ESPECTACULOS PASACALLES DE LA CABALGATA DE REYES MAGOS 2020";Servicios;Negociado sin publicidad;168;a) apartado 2º;;46.827,00 €;46.827,00 €;0,46;19/12/2019;MARIA DEL CARMEN ESCARDO CARULLA;36956866Y;23/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000042;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 1;Suministro;Abierto;;;Un unico criterio;22.990,00 €;21.707,40 €;24;23/12/2019;DACARTEC SERVICIOS INFORMATICOS SLU;B91428607;27/12/2019; ;;
