Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Hombre;Tetuán;Entre 26 y 35 años;Española;7231;Pintores y empapeladores;9310;Ayudantes de cocina;5120;Camareros asalariados
ene-20;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;2823;Psicólogos;2311;Profesores de educación especial;2240;Profesores de enseñanza primaria
ene-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Extracomunitaria;9310;Ayudantes de cocina;;;;
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;2140;Farmacéuticos;5220;Vendedores en tiendas y almacenes;;
ene-20;Mujer;Latina;Entre 56 y 65 años;Extracomunitaria;5833;Conserjes de edificios;4411;Empleados de información al usuario;9431;Ordenanzas
ene-20;Mujer;Usera;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Hombre;Fuencarral-el Pardo;Entre 26 y 35 años;Española;3722;Entrenadores y árbitros de actividades deportivas;3724;Monitores de actividades recreativas y de entretenimiento;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Otro Municipio;Entre 46 y 55 años;Española;4112;Empleados de control de personal y nóminas;3613;Asistentes de dirección y administrativos;4121;Empleados de control de abastecimientos e inventario
ene-20;Hombre;Tetuán;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Arganzuela;Entre 36 y 45 años;Española;9431;Ordenanzas;5833;Conserjes de edificios;;
ene-20;Hombre;Moratalaz;Menor de 25 años;Española;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Española;4424;Teleoperadores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
ene-20;Mujer;Carabanchel;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5220;Vendedores en tiendas y almacenes;3613;Asistentes de dirección y administrativos
ene-20;Hombre;Tetuán;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5120;Camareros asalariados
ene-20;Mujer;Latina;Menor de 25 años;Extracomunitaria;4421;Empleados de agencias de viajes;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4411;Empleados de información al usuario;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Tetuán;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;3532;Organizadores de conferencias y eventos;5492;Promotores de venta
ene-20;Mujer;Hortaleza;Entre 36 y 45 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;3713;Profesionales de apoyo al trabajo y a la educación social;;
