id,nombre,domicilio_con_nombre,coordenadas,latitud,longitud,geopoint,domicilio
0,TELESECUNDARIA 63,"DOMICILIO: ADMON U HAB CAMPAÑA DEL EBANO Y C CELAYA S/N, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.05424199980791,19.35316300009179,0",19.35316300009,-99.0542419998,"19.3531630001,-99.0542419998","ADMON U HAB CAMPAÑA DEL EBANO Y C CELAYA S/N, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF."
1,PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - VALENTIN ZAMORA OROZCO,"DOMICILIO: PLAYA FLAMINGOS NO 1, MILITAR MARTE, DELEGACION IZTACALCO, MEXICO DF.","-99.12558263181295,19.37922441798433,0",19.37922441798,-99.12558263181,"19.379224418,-99.1255826318","PLAYA FLAMINGOS NO 1, MILITAR MARTE, DELEGACION IZTACALCO, MEXICO DF."
2,PREESCOLAR GENERAL - ESTADO DE ZACATECAS,"DOMICILIO: CANAL DE SAN JUAN Y SUR 14 C, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF.","-99.05933678879129,19.39268897307597,0",19.39268897307,-99.05933678879,"19.3926889731,-99.0593367888","CANAL DE SAN JUAN Y SUR 14 C, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
3,PRIMARIA GENERAL - PROFRA. AMANDA PALAFOX Y BAZ,"DOMICILIO: MONTE ELBRUZ NO 15, LOS VOLCANES, DELEGACION TLALPAN, MEXICO DF.","-99.17674771482122,19.2697621281349,0",19.26976212813,-99.17674771482,"19.2697621281,-99.1767477148","MONTE ELBRUZ NO 15, LOS VOLCANES, DELEGACION TLALPAN, MEXICO DF."
4,PRIMARIA GENERAL - VALENTIN ZAMORA OROZCO,"DOMICILIO: RETORNO 33 Y 34 S/N, AVANTE, DELEGACION COYOACAN, MEXICO DF.","-99.13093319192899,19.32847431855964,0",19.32847431855964,-99.130933191929,"19.3284743186,-99.1309331919","RETORNO 33 Y 34 S/N, AVANTE, DELEGACION COYOACAN, MEXICO DF."
5,PRIMARIA GENERAL - VIDAL ALCOCER,"DOMICILIO: MAGISTERIO NACIONAL NO 102, TLALPAN, DELEGACION TLALPAN, MEXICO DF.","-99.166732999903,19.28279199986812,0",19.2827919998681,-99.1667329999,"19.2827919999,-99.1667329999","MAGISTERIO NACIONAL NO 102, TLALPAN, DELEGACION TLALPAN, MEXICO DF."
6,PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - MA. CRUZ MANJARREZ,"DOMICILIO: ANTONIO HGO Y CANDIDO AGUILAR, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF.","-99.05855823319708,19.34847620105332,0",19.34847620105,-99.05855823319,"19.3484762011,-99.0585582332","ANTONIO HGO Y CANDIDO AGUILAR, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF."
7,"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 14 GIBRAN JALIL GIBRAN","DOMICILIO: JOSEFA ORTIZ DE DOMINGUEZ S/N, LA GUADALUPITA, DELEGACION XOCHIMILCO, MEXICO DF.","-99.10150500027143,19.26504900026873,0",19.26504900026,-99.10150500027,"19.2650490003,-99.1015050003","JOSEFA ORTIZ DE DOMINGUEZ S/N, LA GUADALUPITA, DELEGACION XOCHIMILCO, MEXICO DF."
8,PREESCOLAR GENERAL - YOLILIZTLI,"DOMICILIO: AV. JUAREZ S/N ESQ. ACUEXCOMAC, PUEBLO SAN LUIS TLAXIALTEMALCO, DELEGACION XOCHIMILCO, MEXICO DF.","-99.03398273404984,19.25881521822222,0",19.25881521822,-99.03398273404,"19.2588152182,-99.033982734","AV. JUAREZ S/N ESQ. ACUEXCOMAC, PUEBLO SAN LUIS TLAXIALTEMALCO, DELEGACION XOCHIMILCO, MEXICO DF."
9,PRIMARIA GENERAL - CHICHEN ITZA,"DOMICILIO: AV 5 DE MAYO S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF.","-99.12604100008298,19.25074599995511,0",19.25074599995,-99.12604100008,"19.2507459999,-99.1260410001","AV 5 DE MAYO S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF."
10,PREESCOLAR GENERAL - COCONALLI,"DOMICILIO: C. PINO SUR S/N, PUEBLO SAN MATEO XALPA, DELEGACION XOCHIMILCO, MEXICO DF.","-99.1214959999123,19.22358799982489,0",19.223587999824,-99.12149599991,"19.2235879998,-99.1214959999","C. PINO SUR S/N, PUEBLO SAN MATEO XALPA, DELEGACION XOCHIMILCO, MEXICO DF."
11,ESCUELA SECUNDARIA TECNICA 33,"DOMICILIO: ORIENTE 112 SUR 183, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF.","-99.09133324308804,19.38926398204175,0",19.38926398204,-99.09133324308,"19.389263982,-99.0913332431","ORIENTE 112 SUR 183, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
12,PRIMARIA GENERAL - ANAHUAXOCHITL,"DOMICILIO: PABLO L SIDAR ENTRE 35 Y 37 NTE, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.","-99.0951658371085,19.43756104567396,0",19.437561045673,-99.0951658371,"19.4375610457,-99.0951658371","PABLO L SIDAR ENTRE 35 Y 37 NTE, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
13,PRIMARIA GENERAL - PRESIDENTE VICENTE ROCAFUERTE,"DOMICILIO: COXCOX S/N Y RIO CHURUBUSCO, ARENAL 2A SECC, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.","-99.05634406028516,19.42295455935052,0",19.42295455935,-99.05634406028,"19.4229545593,-99.0563440603","COXCOX S/N Y RIO CHURUBUSCO, ARENAL 2A SECC, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
14,PREESCOLAR GENERAL - 10 DE ABRIL,"DOMICILIO: CERRADA LEANDRO VALLE S/N, SAN LORENZO ACOPILCO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.","-99.32721599994483,19.32895800024563,0",19.32895800024563,-99.32721599994484,"19.3289580002,-99.3272159999","CERRADA LEANDRO VALLE S/N, SAN LORENZO ACOPILCO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
15,PRIMARIA GENERAL - TEUHTLI,"DOMICILIO: AV INDEPENDENCIA NO 15, PUEBLO SAN FRANCISCO TECOXPA, DELEGACION MILPA ALTA, MEXICO DF.","-99.00571399979462,19.19577099966256,0",19.19577099966,-99.00571399979,"19.1957709997,-99.0057139998","AV INDEPENDENCIA NO 15, PUEBLO SAN FRANCISCO TECOXPA, DELEGACION MILPA ALTA, MEXICO DF."
16,PRIMARIA GENERAL - PROFRA. GUADALUPE MAYOL DE GONZALEZ,"DOMICILIO: SARASATE NO 94 BIS, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF.","-99.13186799993244,19.45011699976998,0",19.45011699976998,-99.13186799993244,"19.4501169998,-99.1318679999","SARASATE NO 94 BIS, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF."
17,PREESCOLAR GENERAL - ENRIQUE TIERNO GALVAN,"DOMICILIO: FRANCISCO ESPEJEL NO 96, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.","-99.11004700003791,19.42820499987475,0",19.42820499987,-99.11004700003,"19.4282049999,-99.110047","FRANCISCO ESPEJEL NO 96, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
18,PREESCOLAR GENERAL - ITZCALLI,"DOMICILIO: GUADALAJARA S/N, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF.","-99.18545357603907,19.28633144867393,0",19.28633144867,-99.18545357603,"19.2863314487,-99.185453576","GUADALAJARA S/N, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF."
19,PREESCOLAR GENERAL - LEON FELIPE,"DOMICILIO: RAFAEL CURIEL Y ALBERTO GONZALEZ, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF.","-99.06703768848541,19.34992031715289,0",19.34992031715,-99.06703768848,"19.3499203172,-99.0670376885","RAFAEL CURIEL Y ALBERTO GONZALEZ, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF."
20,PREESCOLAR GENERAL - MEXIKATZIN,"DOMICILIO: AV.SAN ISIDRO ALTO LERMA NO 24 M-14 L-1COLONIA, CORPUS CHRISTI, DELEGACION ALVARO OBREGON, MEXICO DF.","-99.24660600016608,19.35925300000069,0",19.35925300000069,-99.24660600016608,"19.359253,-99.2466060002","AV.SAN ISIDRO ALTO LERMA NO 24 M-14 L-1COLONIA, CORPUS CHRISTI, DELEGACION ALVARO OBREGON, MEXICO DF."
21,PRIMARIA GENERAL - NIÑOS HEROES,"DOMICILIO: CALLE SANTA RITA NO 230, LOMAS DEL PADRE, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.","-99.30897399992044,19.35199199977759,0",19.35199199977759,-99.30897399992044,"19.3519919998,-99.3089739999","CALLE SANTA RITA NO 230, LOMAS DEL PADRE, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
22,PREESCOLAR GENERAL - CARLOS ALCALDE,"DOMCILIO: VIRREYES Y PRADO SUR, LOMAS DE CHAPULTEPEC, DELEGACION MIGUEL HIDALGO, MEXICO DF.",,,,,"VIRREYES Y PRADO SUR, LOMAS DE CHAPULTEPEC, DELEGACION MIGUEL HIDALGO, MEXICO DF."
