id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
0,LA CUESTA,Álvaro Obregón,"Tecalcapa Centro Social La Cuesta Pueblo Tetelpan (534 M2), 
calle Andador Tepalcapa S/N, Esq. Rio Guadalupe",CONECTADO,PRÓXIMA,2,1,19.345512,-99.225916,"19.345512,-99.225916"
1,SANTA LUCIA,Álvaro Obregón,"Estación De Policía Cdmx ""Colinas del Sur”,Avenida Santa Lucía y calle 36 S/N, Colonia Colinas del Sur.",CONECTADO,PRÓXIMA,1,0,19.368568,-99.222861,"19.368568,-99.222861"
2,BARRIO NORTE II,Álvaro Obregón,"BARRIO NORTE II, Cerrada Allende S/N, Col. Barrio Norte",CONECTADO,PRÓXIMA,2,1,19.379565,-99.206473,"19.379565,-99.206473"
3,BELÉN DE LAS FLORES,Álvaro Obregón,Belén de las Rosas 11 Centro Social Belen de las Flores (300M2 DE READECUACIÓN),CONECTADO,23/4/2019,2,1,19.397066,-99.217629,"19.397066,-99.217629"
4,ÁRBOL DEL CONOCIMIENTO,Álvaro Obregón,Luis G Urbina s/n Árbol del Conocimiento 1era Sección Cañada (1000 M2 DE READECUACIÓN),CONECTADO,3/8/2019,1,1,19.3842972,-99.2221,"19.3842972,-99.2221"
5,LA ARAÑA,Álvaro Obregón,"Centro Interactivo La Araña, Álvaro Obregón Río Mixcoac, Col. La Araña",CONECTADO,8/2/2019,3,0,19.36265,-99.240295,"19.36265,-99.240295"
6,JALALPA TEPITO,Álvaro Obregón,"Centro de Artes y Oficios Jalalpa, Álvaro Obregón Encinal S/N",CONECTADO,8/2/2019,3,0,19.374318,-99.236969,"19.374318,-99.236969"
7,SAN MIGUEL AMANTLA,Azcapotzalco,Av Morelos 163 Centro de Desarrollo Comunitario San Miguel Amantla (300 M2),CONECTADO,12/7/2019,2,1,19.475268,-99.204326,"19.475268,-99.204326"
8,LA NARANJA,Azcapotzalco,"Estación De Policía  Cdmx “La Naranja”, Calzada De La Naranja Número 10156, Colonia Ampliación San Pedro Xalpa, 150 M2",CONECTADO,22/9/2019,1,1,19.4745111,-99.2185,"19.4745111,-99.2185"
9,PROHOGAR,Azcapotzalco,"Prohogar, Fracción del Predio ubicada en calle 22 No.17",CONECTADO,4/2/2020,3,1,19.474933,-99.149838,"19.474933,-99.149838"
10,TOPILTZIN,Coyoacán,"CDC Francisco I. Madero, Calle Mixtecas y Topilzin, DIF",CONECTADO,5/3/2020,2,0,19.322999,-99.157708,"19.322999,-99.157708"
