id,id_ente,id_sede,nombre_de_la_sede,calle,numero_exterior,numero_interior,colonia,alcaldia,codigo_postal,referencias_de_ubicacion,horario_de_atencion,dias_de_atencion,correo_electronico,tel_1,ext_1,tel_2,ext_2,intervencion_en_crisis,terapia_individual,terapia_grupal,impresion_diagnostica,psiquiatrica,salud_reproductiva,atencion_por_lesiones,ile,ive,casa_de_emergencia,refugio,orientacion_o_asesoria_juridica,acompanamiento_juridico,representacion_juridica,medidas_de_proteccion,apertura_de_carpeta_de_investigacion,informacion_y_orientacion,perfiles_socioeconomicos,visitas_de_seguimiento,atencion_re_educativa_a_hombres_que_ejercen_violencia,atencion_psicoterapeutica_a_personas_generadoras_de_violencia,indique_otro_servicio_de_atencion_a_mujeres_victimas_de_violencia_que_porporcione_y_que_no_se_encuen,lon,lat,geopoint
0,FGJ,FGJ-005,Coordinacion Territorial Az-1 y Az-3,Av de las Culturas y eje 5 Norte,S/N,S/N,San Martin Xochinahuac,Azcapotzalco,2120.0,Metrobus Cultura,24 horas,lunes a domingo,nesllym_zambrano@fgjcdmx.gob.mx,53468383,,53468398,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1915796,19.5105948,"19.5105948,-99.1915796"
1,FGJ,FGJ-007,Coordinación Territorial BJ-3 y Bj-4,Avenida Cuauhtémoc esquina Obrero Mundial,S/N,S/N,Navarte,Benito Juárez,3020.0,Frente a Parque Delta,24 horas,lunes a domingo,matilder_caldelas@fgjcdmx.gob.mx,5200-9626,,5200-9617,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1556199,19.4018736,"19.4018736,-99.1556199"
2,FGJ,FGJ-010,Coordinación Territorial Coy-2,Zompantitla Esq. Tecualiapan,S/N,S/N,Romero de Terreros,Coyoacán,4310.0,a una calle de Miguel Angel de Quevedo,24HRS,lunes a domingo,,5552009385,9385.0,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1666016,19.3444204,"19.3444204,-99.1666016"
3,FGJ,FGJ-011,Coordinación Territorial Coy-3,Apaches Esq. Eje 3 Ote,S/N,S/N,San Francisco Culhuacan,Coyoacán,14680.0,a una cuadra del ESIME Culhuacan,24HRS,lunes a domingo,,5552009373,9373.0,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1111638,19.3111533,"19.3111533,-99.1111638"
4,FGJ,FGJ-012,Coordinación Territorial Coy-4,Rey Tepalcanzin y Chichimecas,S/N,S/N,Ajusco,Coyoacán,4300.0,,24HRS,lunes a domingo,,5552009363,9363.0,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1599963,19.3189181,"19.3189181,-99.1599963"
5,FGJ,FGJ-013,Coordinación Territorial Coy-5,Candelaria Perez y Laura Mendez de Cuenca,S/N,S/N,CTM Culhuacan,Coyoacán,4480.0,,24HRS,lunes a domingo,,5552009397,9397.0,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1006023,19.3191526,"19.3191526,-99.1006023"
6,FGJ,FGJ-016,Coordinación Territorial CUH-1,Calle Lerdo,322,S/N,San Simón Tolnahuac,Cuauhtémoc,6920.0,Cerca metro Tlatelolco,24 horas,lunes a domingo,,53468877,,53468715,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1402974,19.4559532,"19.4559532,-99.1402974"
7,FGJ,FGJ-019,Coordinación Territorial CUH-4,Calle República de Paraguay,35,S/N,Centro,Cuauhtémoc,6020.0,Esquina con Calle Republica de Brasil,24 horas,lunes a domingo,,53468737,,53468701,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1336513,19.4416495,"19.4416495,-99.1336513"
8,FGJ,FGJ-020,Coordinación Territorial CUH-5,Calle Santa María la Ribera,37,S/N,Santa María la Ribera,Cuauhtémoc,6400.0,Cerca metro San Cosme,24 horas,lunes a domingo,,53468733,,53468732,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1580224,19.4428373,"19.4428373,-99.1580224"
9,FGJ,FGJ-023,Coordinación Territorial CUH-8,Calle Chimalpopoca,100,S/N,Obrera,Cuauhtémoc,6800.0,Cerca metro Isabel la Católica,24 horas,lunes a domingo,,53468714,,55783068,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1372373,19.4227001,"19.4227001,-99.1372373"
